id,t,y,a,c,v
1.0,0.0,0.5278987,9.771614,1.824344,-86.94614
1.0,1.0,0.45812312,8.648131,1.66963,-77.52964
1.0,2.0,0.73868585,7.5883923,1.8913624,-68.21933
1.0,3.0,0.52860624,6.5670567,1.7100827,-59.208298
1.0,4.0,0.5042333,5.49549,1.6287603,-50.288055
1.0,5.0,0.6564367,4.4601665,1.6607791,-41.503525
1.0,6.0,0.6218777,3.526351,1.5450971,-32.91143
1.0,7.0,0.6667026,2.6562567,1.4911712,-24.430157
1.0,8.0,0.8365344,1.8691716,1.7199862,-16.088932
1.0,9.0,0.63603175,1.0058366,1.4553837,-8.030396
2.0,0.0,1.9549849,1.8706369,1.8610445,-86.04589
2.0,1.0,2.280061,2.0046706,2.143176,-76.64813
2.0,2.0,1.7577388,2.185261,1.851456,-67.56741
2.0,3.0,1.9111938,2.1342282,2.1076984,-58.53714
2.0,4.0,1.5781221,1.977269,1.9524848,-49.801445
2.0,5.0,1.8428764,1.6356188,2.2193754,-41.174725
2.0,6.0,1.3438458,1.284816,1.8652107,-32.82817
2.0,7.0,1.1982188,0.7790319,1.7150244,-24.505096
2.0,8.0,1.3188714,0.2675779,1.5117166,-16.279724
2.0,9.0,1.2732506,0.07625782,1.3081561,-8.116501
3.0,0.0,1.016041,6.2700405,1.6716958,-87.19192
3.0,1.0,1.018845,5.728965,1.7195042,-77.69277
3.0,2.0,1.0850091,5.1309237,1.7873406,-68.40983
3.0,3.0,0.68964726,4.5189714,1.5155116,-59.34768
3.0,4.0,0.59301966,3.7684767,1.3815386,-50.31904
3.0,5.0,0.6485938,3.0407732,1.4027737,-41.388695
3.0,6.0,0.6565433,2.3332582,1.3481774,-32.650303
3.0,7.0,1.1039318,1.6751264,1.8144444,-24.052612
3.0,8.0,1.5011028,0.9842998,2.1483142,-15.873462
3.0,9.0,1.248119,0.3439677,1.5265654,-7.9921427
4.0,0.0,2.1962483,9.381972,2.9196765,-81.57933
4.0,1.0,2.721731,8.835249,3.285577,-72.595406
4.0,2.0,3.3504822,8.4402075,3.7001896,-63.894485
4.0,3.0,2.207358,8.255612,3.1500027,-55.468323
4.0,4.0,2.3861961,7.4622126,3.4673386,-47.07668
4.0,5.0,2.2212577,6.511296,3.5332801,-38.931423
4.0,6.0,2.0602357,5.305381,3.3432422,-30.964096
4.0,7.0,1.91378,4.104464,3.0720792,-23.112831
4.0,8.0,1.6168745,3.0062904,2.5430558,-15.3532295
4.0,9.0,1.5399253,2.1225605,2.5123205,-7.60374
5.0,0.0,2.2608197,4.517645,2.3179393,-83.48006
5.0,1.0,2.865735,4.551556,2.8312173,-74.28636
5.0,2.0,2.5175881,4.679667,2.7417228,-65.45498
5.0,3.0,2.427483,4.546461,2.9000676,-56.772373
5.0,4.0,1.9790951,4.1570168,2.684829,-48.31107
5.0,5.0,1.711484,3.521717,2.527432,-39.954792
5.0,6.0,2.4323993,2.7609887,3.099362,-31.716022
5.0,7.0,1.614904,2.1367612,2.3241026,-23.805061
5.0,8.0,1.2396594,1.4566964,2.0438094,-15.825903
5.0,9.0,1.1553658,0.6658637,1.7030529,-7.9051833
6.0,0.0,0.80044353,0.11135101,0.7116702,-95.02611
6.0,1.0,0.76943445,0.2042085,0.66400176,-84.680115
6.0,2.0,0.50005615,0.31596038,0.511166,-74.470505
6.0,3.0,0.6677638,0.31107202,0.72083634,-64.199905
